Longitude,Latitude,TDSc_mgL,pH,KNaSW,MgNaSW,CaNaSW,BNaSW,MgCaSW,SrCaSW,RbKSW,SO4ClSW,BrClSW,KNaDSW,MgNaDSW,CaNaDSW,BNaDSW,SO4ClDSW,BrClDSW
135.0,-29.97,1897.9148480000001,,,0.711499234,8.725528348,,-0.830189115,,,0.8201883440000001,,,34.46116667,153.1908833,,87.56109278,
135.01,-29.9,11494.60582,,,0.158668962,2.588780542,,-0.6771413159999999,,,1.773594086,,,21.90461111,296.0505389,,1226.958996,
135.01,-29.88,9555.675793999999,,,-0.061004679000000006,4.610024639,,-0.83262189,,,2.543865614,,,0.0,428.1690861000001,,1378.588322,
135.03,-29.53,17639.87,7.1,-0.33877551,-0.162790698,2.153284672,,-0.7344961240000001,,,1.57696354,,-43.33333333,-37.5,390.69444439999995,,1719.4230929999999,
135.03,-29.52,18040.05,6.1,-0.284733124,-0.194991055,1.8804042669999999,,-0.720522236,,,1.724909979,,-34.86666667,-59.0,352.3222222,,1908.2142059999999,
135.08,-29.87,7645.948489,,,-0.076995867,3.311498774,,-0.785920354,,,1.615313449,,,0.0,259.5121167,,745.4564515,
135.13,-29.84,3599.38,8.1,-0.055393585999999995,-0.234551495,3.079249218,,-0.812355543,,,1.5442096109999999,,0.0,-16.875,119.04583329999998,,323.5580412,
135.13,-29.83,4510.42,7.4,-0.173469388,-0.223069767,4.255474453,,-0.852167442,,,1.7043943869999998,,-3.333333333,-18.375,197.67361110000002,,447.9072165,
135.14,-29.97,4164.995509,,,0.43052339799999995,6.616442867999999,,-0.812179593,,,1.312695969,,,40.24902778,252.82259720000002,,330.1924082,
135.14,-29.83,10613.62208,,,-0.144089161,3.807495131,,-0.8219632440000001,,,1.5882427959999998,,,-15.370999999999999,411.8157889,,1028.7922039999999,
135.14,-29.63,18587.73,6.7,-0.324220254,-0.131197894,2.693706101,,-0.764788513,,,1.4489375480000002,,-43.13333333,-19.75,523.1361111,,1652.476866,
135.15,-30.0,3147.066666666667,7.6000000000000005,0.6152820756666667,0.09612085399999999,5.010978820333334,,-0.8151275139999999,,,1.444067708333333,0.052917232,11.727160496333335,3.254629629666667,139.14675926666666,,241.46529210000003,0.0
135.18,-29.85,5662.026759,,,0.035300486,4.134878656000001,,-0.798378783,,,1.489107336,,,0.0,232.1976278,,509.18717530000004,
135.2,-29.99,5391.373076,6.76,0.399301826,0.47080195425,7.357144248250001,3.642105263,-0.822081615,-0.38778125,0.651951641,1.5308625515,0.11960199,8.256296296,33.519027775,285.391916,1.121666667,518.04918085,0.101546392
135.23,-29.85,6418.8953675,,,-0.097904571,3.466753478,,-0.798586775,,,1.468850907,,,-13.635,227.44837364999998,,563.28771545,
135.24,-29.88,6120.4205152,,,0.1247332324,3.6028244303999997,,-0.7484247366,,,1.5357770071999999,,,12.5442277786,218.84842831999998,,560.1824804199999,
135.25,-29.91,5326.5775315,,,0.24708026899999996,5.2718943695,,-0.801410129,,,1.2984850185,,,23.76261111,263.9477389,,419.6519082,
135.26,-29.98,2567.3188375,,,0.018879654000000003,3.640931361,,-0.7776405040000001,,,1.4957845275000001,,,0.710972222,94.1369903,,230.6664268,
135.35,-29.87,10215.923887500001,,,-0.2300683085,2.74971032025,,-0.791479766,,,1.53414580525,,,-46.356875,306.401534725,,946.2382319999999,
135.37,-29.99,7588.585447000001,6.34,-0.14162650000000002,-0.0424722815,2.7316016985,2.111557789,-0.743045656,-0.381403061,2.513247312,1.2102346095,-0.089978678,-3.0066666669999997,0.0,212.6667625,1.6679166669999999,565.95800825,0.0
135.37,-29.93,5219.9165545,,,-0.16440016400000002,3.2095813765,,-0.8013867245,,,1.5445582515,,,-11.65475,175.0574139,,484.25085775,
135.39,-30.0,521.212131,,,-0.447083223,0.88835173,,-0.8734514240000001,,,0.473228165,,,-16.827,11.53752222,,19.72743299,
135.39,-29.99,516.57300555,,,-0.23117009700000002,1.2282191205,,-0.8389499445,,,0.5935180390000001,,,-7.230875,15.0229125,,25.304401034999998,
135.45,-29.97,8076.249103,,,-0.10227428949999999,2.7870867829999995,,-0.7622103015000001,,,1.1915257365,,,-10.191125,244.8444847,,593.16318765,
135.56,-29.95,8109.469889666667,7.6,-0.307960151,0.02270905166666667,1.620074227,,1.770191216,,,1.6799213970000002,,-15.92666667,0.923148148,138.61120926666666,,828.0652818,
135.57,-29.75,5039.943402,,,0.758105096,8.801319333,,-0.8206256690000001,,,1.873393645,,,76.43744444,321.99425560000003,,563.112668,
135.64,-29.76,612.3104427000001,,,-0.358760032,0.7181129740000001,,-0.772358804,,,0.182532256,,,-12.852,9.056133333,,6.147074227,
135.65,-29.76,835.899631,,,-0.292350141,1.352525243,,-0.8028700320000001,,,2.320970792,,,-10.2025,18.72308333,,119.0385773,
135.65,-29.15,4801.019807,,,0.109508146,8.309739001,,-0.880822852,,,3.60612988,,,1.23575,339.950925,,894.5479052000001,
135.67,-29.93,10881.19154,,,0.149055245,3.140164762,,-0.7224614690000001,,,1.127579052,,,17.31152778,341.8213472,,762.7709978999999,
135.68,-30.0,6144.152547,,,0.204304542,5.0688096410000005,,-0.801558359,,,1.376135165,,,19.40925,294.584575,,516.8697897,
135.74,-29.92,12956.36382,,,0.205143424,3.161050738,,-0.710375215,,,1.3014396879999999,,,43.59661111,404.3833389,,1044.389845,
135.77,-29.97,7016.581781999999,,,0.10860310699999999,3.389254404,,-0.7474279220000001,,,1.35919101,,,1.950166667,237.5559833,,583.0559092999999,
135.78,-29.95,7806.0857975,7.31,-0.26963804399999997,-0.022987809499999998,3.054347244,1.988679245,-0.7588708369999999,-0.35282835799999995,2.867686833,1.5263657615000001,-0.217426382,-13.05333333,0.0,240.62745415,1.668333333,731.3499020500001,-1.500515464
135.82,-29.84,9842.903,7.3,-0.288682746,-0.050147992,2.8699402789999997,,-0.754556417,,,2.212462866,,-18.83333333,0.0,289.88194439999995,,1269.13633,
135.83,-29.84,7074.274106,,,-0.089273738,2.569178371,,-0.744835879,,,1.9496352959999999,,,0.0,188.6554472,,804.0951175,
135.91,-29.96,7461.700983333333,7.8,-0.47402597399999996,-0.13720470366666668,2.646791056333333,,-0.7631493800000001,,,2.2283296509999997,,-29.86666667,-9.172333333333333,204.90654446666667,,964.5817354333334,
135.91,-29.86,14045.184580000001,,,-0.227587633,2.9085927000000003,,-0.802380952,,,1.248102854,,,-58.953,413.4644778,,1090.2392519999999,
135.91,-29.76,12299.96213,,,-0.34118180600000003,1.6143694780000002,,-0.748001115,,,1.6229218419999998,,,-108.7265,217.50779440000002,,1206.354936,
135.98,-29.94,8044.098000000001,7.8,-0.47402597399999996,-0.105708245,2.8818845389999996,,-0.7696243290000001,,,3.105583637,,-29.86666667,-1.5,232.90555559999999,,1371.903299,
136.0,-29.89,8955.359563,,,-0.589196662,0.82072178,,-0.77437336,,,1.623446094,,,-173.38475,81.385525,,871.5208226999999,
136.04,-29.97,8672.087919,,,0.042303502,10.01237205,,-0.90535159,,,2.9188770180000003,,,0.0,722.3401583,,1385.6017359999998,
